KPI Name ;Schema;MME Proposed Object Identifier
MME_Manager_Maximum_CPU_Utilization;CARD;
MME_Manager_Maximum_Memory_Utilization;CARD;
MME_Modify_Bearer_Success_Rate;EGTPC;
MME_NAS_Authentication_Attempts;MME;MME
MME_NAS_Authentication_Success;MME;MME
MME_Overall_Attach_Success_Rate;MME;MME_SR
MME_PDN_Connectivity_Attempts;MME;MME_PDN
MME_PDN_Connectivity_Reject_APNRestrict;MME;MME_PDN
MME_PDN_Connectivity_Reject_APNUnknown;MME;MME_PDN
MME_PDN_Connectivity_Reject_AuthFailed;MME;MME_PDN
MME_PDN_Connectivity_Reject_InvalidBearerID;MME;MME_PDN
MME_PDN_Connectivity_Reject_InvalidPTI;MME;MME_PDN
MME_PDN_Connectivity_Reject_MultiplePDNNotAllowed;MME;MME_PDN
MME_PDN_Connectivity_Reject_ODB;MME;MME_PDN
MME_PDN_Connectivity_Reject_PDNTypeUnknown;MME;MME_PDN
MME_PDN_Connectivity_Reject_PGWReject;MME;MME_PDN
MME_PDN_Connectivity_Reject_PTIAlreadyinUse;MME;MME_PDN
MME_PDN_Connectivity_Reject_SVCNotSubscribed;MME;MME_PDN
MME_PDN_Connectivity_Reject_SVCNotSupported;MME;MME_PDN
MME_PDN_Connectivity_Reject_SVCOutofOrder;MME;MME_PDN
MME_PDN_Connectivity_Success;MME;MME_PDN
MME_PS_Paging_Success_Rate_QCI_Seperated;MME;MME_SR
MME_PS_QCI5_Paging_Success_Rate;MME;MME_SR
MME_PS_QCI9_Paging_Success_Rate;MME;MME_SR
MME_Paging_Profile_Stage1_Attempt;MME-PAGING-PROFILE;
MME_Paging_Profile_Stage1_Failure;MME-PAGING-PROFILE;
MME_Paging_Profile_Stage1_Skipped;MME-PAGING-PROFILE;
MME_Paging_Profile_Stage1_Success;MME-PAGING-PROFILE;
MME_Paging_Profile_Stage2_Attempt;MME-PAGING-PROFILE;
MME_Paging_Profile_Stage2_Failure;MME-PAGING-PROFILE;
MME_Paging_Profile_Stage2_Skipped;MME-PAGING-PROFILE;
MME_Paging_Profile_Stage2_Success;MME-PAGING-PROFILE;
MME_Paging_Profile_Stage3_Attempt;MME-PAGING-PROFILE;
MME_Paging_Profile_Stage3_Failure;MME-PAGING-PROFILE;
MME_Paging_Profile_Stage3_Skipped;MME-PAGING-PROFILE;
MME_Paging_Profile_Stage3_Success;MME-PAGING-PROFILE;
MME_Paging_Profile_Stage4_Attempt;MME-PAGING-PROFILE;
MME_Paging_Profile_Stage4_Failure;MME-PAGING-PROFILE;
MME_Paging_Profile_Stage4_Skipped;MME-PAGING-PROFILE;
MME_Paging_Profile_Stage4_Success;MME-PAGING-PROFILE;
MME_Paging_Profile_Stage5_Attempt;MME-PAGING-PROFILE;
MME_Paging_Profile_Stage5_Failure;MME-PAGING-PROFILE;
MME_Paging_Profile_Stage5_Skipped;MME-PAGING-PROFILE;
MME_Paging_Profile_Stage5_Success;MME-PAGING-PROFILE;
MME_Path_Update_Failures;MME;MME_Failure
MME_Path_Update_Success_Rate;MME;MME_SR
MME_S1AP_ERAB_Setup_Attempts;MME;MME
MME_S1AP_ERAB_Setup_Success;MME;MME
MME_S1_Handover_Success_Rate;MME;MME_SR
MME_S1_NAS_Combine_Attach_Attempts;MME;MME
MME_S1_NAS_Combine_Attach_Success;MME;MME
MME_S1_TAU_Attempts;MME;MME
MME_S1_TAU_Success;MME;MME
MME_S6a_AIR_Attempts;HSS;
MME_S6a_AIR_Success;HSS;
MME_S6a_ULR_Attempts;HSS;
MME_S6a_ULR_Success;HSS;
MME_Service_Request_Reject_NoCellsInTA;MME;MME_Failure
MME_Service_Request_Reject_NoEPSBearer;MME;MME_Failure
