KPI Name ;Schema;MME Proposed Object Identifier
combocore_n7_sm_policy_update_failure;SMF;SMF_N7Failure
combocore_n7_sm_policy_update_failure_307;SMF;SMF_N7Fail3XX
combocore_n7_sm_policy_update_failure_3xx;SMF;SMF_N7Fail3XX
combocore_n7_sm_policy_update_failure_400;SMF;SMF_N7Fail4XX
combocore_n7_sm_policy_update_failure_403;SMF;SMF_N7Fail4XX
combocore_n7_sm_policy_update_failure_404;SMF;SMF_N7Fail4XX
combocore_n7_sm_policy_update_failure_429;SMF;SMF_N7Fail4XX
combocore_n7_sm_policy_update_failure_4xx;SMF;SMF_N7Fail4XX
combocore_n7_sm_policy_update_failure_500;SMF;SMF_N7Fail5XX
combocore_n7_sm_policy_update_failure_501;SMF;SMF_N7Fail5XX
combocore_n7_sm_policy_update_failure_502;SMF;SMF_N7Fail5XX
combocore_n7_sm_policy_update_failure_503;SMF;SMF_N7Fail5XX
combocore_n7_sm_policy_update_failure_504;SMF;SMF_N7Fail5XX
combocore_n7_sm_policy_update_failure_5xx;SMF;SMF_N7Fail5XX
combocore_n7_sm_policy_update_success;SMF;SMF_N7
combocore_5g_pdu_est_failures_n40_chf_data_response_timeout;SMF;SMF_N40
combocore_int_n40_charging_data_abort;SMF;SMF_N40
combocore_int_n40_charging_data_abort_failure;SMF;SMF_N40
combocore_int_n40_charging_data_abort_failure_3xx;SMF;SMF_N40
combocore_int_n40_charging_data_abort_failure_4xx;SMF;SMF_N40
combocore_int_n40_charging_data_abort_failure_5xx;SMF;SMF_N40
combocore_int_n40_charging_data_abort_success;SMF;SMF_N40
combocore_int_n40_charging_data_initial_request;SMF;SMF_N40
combocore_int_n40_charging_data_initial_request_failure;SMF;SMF_N40
combocore_int_n40_charging_data_initial_request_failure_3xx;SMF;SMF_N40
combocore_int_n40_charging_data_initial_request_failure_4xx;SMF;SMF_N40
combocore_int_n40_charging_data_initial_request_failure_5xx;SMF;SMF_N40
combocore_int_n40_charging_data_initial_request_success;SMF;SMF_N40
combocore_int_n40_charging_data_notify;SMF;SMF_N40
combocore_int_n40_charging_data_notify_failure;SMF;SMF_N40
combocore_int_n40_charging_data_notify_failure_3xx;SMF;SMF_N40
combocore_int_n40_charging_data_notify_failure_4xx;SMF;SMF_N40
combocore_int_n40_charging_data_notify_failure_5xx;SMF;SMF_N40
